"Suicide rate, female (per 100,000 people, age-standardized)"
"Dimension: Human security"
"SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being"
"Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population. The rates are age-standardized."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"102"," Jordan","3.7","","2.7","","2.7","","2.7",""
"51"," Kazakhstan","10.4","","10.7","","8.5","","7.7",""
"143"," Kenya","3.6","","2.3","","2.1","","2.1",""
"134"," Kiribati","6.5","","5.8","","5.5","","5.4",""
".."," Korea (Democratic People's Rep. of)","7.7","","9.0","","8.2","","8.0",""
"23"," Korea (Republic of)","8.5","","18.7","","12.5","","11.6",""
"64"," Kuwait","1.4","","1.1","","1.7","","1.7",""
"120"," Kyrgyzstan","5.4","","4.4","","3.5","","3.7",""
"137"," Lao People's Democratic Republic","8.2","","6.6","","6.1","","6.1",""
"37"," Latvia","9.5","","4.2","","5.3","","5.1",""
"92"," Lebanon","2.1","","2.4","","2.3","","2.2",""
"165"," Lesotho","30.2","","31.0","","32.1","","32.6",""
"175"," Liberia","9.5","","12.7","","12.6","","13.0",""
"105"," Libya","3.0","","2.4","","2.1","","2.3",""
"34"," Lithuania","15.6","","9.5","","8.9","","6.7",""
"23"," Luxembourg","8.2","","5.2","","5.7","","5.8",""
"164"," Madagascar","5.0","","4.2","","3.7","","3.6",""
"174"," Malawi","4.7","","3.2","","3.2","","3.2",""
"62"," Malaysia","4.4","","3.6","","3.6","","3.6",""
"95"," Maldives","5.1","","2.4","","1.8","","1.6",""
"184"," Mali","5.0","","4.6","","4.8","","4.7",""
"28"," Malta","2.4","","1.6","","3.2","","2.8",""
"157"," Mauritania","3.0","","3.2","","3.5","","3.6",""
"66"," Mauritius","4.5","","3.5","","4.3","","2.2",""
"74"," Mexico","1.2","","1.9","","2.4","","2.3",""
"136"," Micronesia (Federated States of)","8.3","","6.8","","6.4","","6.2",""
"90"," Moldova (Republic of)","4.1","","5.1","","4.5","","3.8",""
"99"," Mongolia","8.2","","4.8","","3.9","","3.8",""
"48"," Montenegro","5.6","","4.1","","3.5","","3.6",""
"121"," Morocco","9.5","","5.0","","3.7","","3.6",""
"181"," Mozambique","7.3","","4.9","","4.2","","4.1",""
"147"," Myanmar","10.7","","9.4","","9.6","","9.8",""
"130"," Namibia","5.9","","5.7","","5.1","","4.9",""
"142"," Nepal","15.5","","11.0","","8.5","","8.0",""
"8"," Netherlands","5.3","","4.8","","6.4","","6.4",""
"14"," New Zealand","4.5","","6.9","","6.2","","6.2",""
