157, Mauritania,9.9,,11.1,,11.9,,12.1
66, Mauritius,17.3,,12.2,,12.1,,12.5
74, Mexico,6.9,,7.9,,9,,8.2
136, Micronesia (Federated States of),17,,16.5,,16.7,,16.2
90, Moldova (Republic of),29.2,,32.5,,24.9,,24.1
99, Mongolia,31.5,,28,,23.4,,23.3
48, Montenegro,13.6,,12.9,,12.3,,12.6
121, Morocco,6.7,,3,,2.5,,2.5
181, Mozambique,22.9,,15.5,,14,,14
147, Myanmar,4.8,,6.2,,6.3,,6.3
130, Namibia,24.3,,22.7,,19.8,,19.4
142, Nepal,20.9,,13.5,,11.9,,11.4
8, Netherlands,11.4,,11.6,,12.9,,12.9
14, New Zealand,21.3,,17.7,,17.3,,17.3
128, Nicaragua,29.4,,19.8,,19.3,,19.2
189, Niger,10.7,,11.7,,11.6,,11.5
161, Nigeria,16,,16.1,,17.2,,17.5
82, North Macedonia,10.3,,7.2,,9.7,,9.7
1, Norway,18.1,,14.7,,13.3,,13.6
60, Oman,7.1,,5.1,,5,,4.8
154, Pakistan,3.6,,3.2,,3.1,,3
57, Panama,11.7,,9.1,,6.7,,7.6
155, Papua New Guinea,11.8,,9.1,,10.1,,10.2
103, Paraguay,15.6,,12.6,,12.9,,12.3
79, Peru,8.8,,7.5,,7.6,,7.6
107, Philippines,4.5,,5.7,,5.4,,5.2
35, Poland,26.6,,28,,23.5,,23.9
38, Portugal,9.2,,14.4,,14.3,,14.3
45, Qatar,4.9,,6.5,,7.1,,7.3
49, Romania,19.9,,19.8,,16.2,,13.9
52, Russian Federation,85.8,,62.3,,49.9,,48.3
160, Rwanda,30.5,,18.7,,17.2,,16.9
86, Saint Lucia,13,,11,,12.9,,12.7
97, Saint Vincent and the Grenadines,13.6,,5.7,,4.3,,3.9
111, Samoa,16.7,,10.3,,8.9,,8.7
135, Sao Tome and Principe,3.8,,3.9,,4.2,,4.2
40, Saudi Arabia,5,,5.4,,4.6,,4.6
168, Senegal,22.6,,21.9,,20.8,,20.3
64, Serbia,25.8,,18.3,,16.8,,17.3
67, Seychelles,16.7,,15.6,,15.1,,15
182, Sierra Leone,21.9,,17.7,,17.4,,18.2
11, Singapore,15.5,,11.1,,10.2,,11.1
39, Slovakia,22.2,,20.6,,18.4,,18.4
22, Slovenia,40.5,,26.5,,24.3,,22.4
151, Solomon Islands,16.9,,10,,8.8,,8.5
.., Somalia,11,,10.3,,11.4,,11.5
114, South Africa,22.7,,22.9,,22.1,,21.7
185, South Sudan,11,,9.1,,8.2,,8.3
25, Spain,10.4,,8.1,,8.7,,9.3
72, Sri Lanka,47.8,,31.2,,24,,23.3
170, Sudan,14.6,,14.6,,14.5,,14.5
97, Suriname,41.5,,43.7,,38,,36.1
7, Sweden,16.8,,17.1,,16.9,,15.8
2, Switzerland,24.7,,15.9,,16.1,,15.8
151, Syrian Arab Republic,2.9,,3.7,,3.8,,3.8
125, Tajikistan,6.3,,5,,5,,5
163, Tanzania (United Republic of),18.2,,13.8,,14.2,,14.3
79, Thailand,23.7,,21,,21.7,,21.4
141, Timor-Leste,18.7,,10.5,,9,,9
167, Togo,23.2,,23,,22.3,,22.7
104, Tonga,5.1,,5.5,,5.2,,5.2
67, Trinidad and Tobago,24,,22.1,,21.7,,21.9
95, Tunisia,5.4,,5,,4.4,,4.4
54, Turkey,12,,12.8,,11.3,,11.3
111, Turkmenistan,16.4,,12.2,,11.6,,11
159, Uganda,21.2,,21.2,,21.1,,21.2
74, Ukraine,58.1,,41.5,,35.2,,34.5
31, United Arab Emirates,4.3,,3.6,,3.5,,3.5
13, United Kingdom,12.7,,10.6,,11.6,,11.9
17, United States,16.5,,18.6,,20.5,,21.1
